Player,Pos,Rank,Team
Germie Bernard,WR,229,PIT
Fernando Mendoza,QB,230,LV
Harrison Mevis,K,231,LAR
Evan Engram,TE,232,DEN
Zachariah Branch,WR,233,ATL
Malachi Fields,WR,234,NYG
Colby Parkinson,TE,235,LAR
Cairo Santos,K,236,CHI
Devaughn Vele,WR,237,NO
Buffalo Bills,DEF,238,BUF
Detroit Lions,DEF,239,DET
Kaelon Black,RB,240,CHI
Ollie Gordon,RB,241,BUF
Justice Hill,RB,242,LAR
Demond Claiborne,RB,243,WAS
Chase McLaughlin,K,244,LAC
Antonio Williams,WR,245,NYG
Jack Bech,WR,246,TB
Keon Coleman,WR,247,SF
Andy Borregales,K,248,KC
Isaiah Davis,RB,249,KC
Tua Tagovailoa,QB,250,ARI
Tory Horton,WR,251,LAR
Evan McPherson,K,252,ATL
Elic Ayomanor,WR,253,ARI
Ja'Kobi Lane,WR,254,BUF
Chris Brooks,RB,255,CAR
Najee Harris,RB,256,KC
Cleveland Browns,DEF,257,CLE
Jordan James,RB,258,WAS
Samaje Perine,RB,259,PHI
Ted Hurst,WR,260,TB
Harrison Butker,K,261,KC
Ty Johnson,RB,262,BUF
Chimere Dike,WR,263,TEN
Chris Boswell,K,264,PIT
Tyquan Thornton,WR,265,KC
LeQuint Allen,RB,266,JAC
Michael Penix,QB,267,ATL
Chris Bell,WR,268,MIA
Kirk Cousins,QB,269,LV
Wil Lutz,K,270,DEN
Greg Dulcich,TE,271,MIA
Darius Slayton,WR,272,NYG
Malik Davis,RB,273,DAL
DJ Giddens,RB,274,IND
Christian Kirk,WR,275,SF
Xavier Legette,WR,276,CAR
Mason Taylor,TE,277,NYJ
Deshaun Watson,QB,278,CLE
Elijah Sarratt,WR,279,BAL
Theo Johnson,TE,280,NYG
Will Reichard,K,281,MIN
Shedeur Sanders,QB,282,CLE
Seth McGowan,RB,283,IND
Caleb Douglas,WR,284,MIA
Marvin Mims,WR,285,DEN
Devin Neal,RB,286,NO
